,Ten tap chi,issn,online issn,print issn,linking issn,impact_factor
4266,Revue Neurologique,, 2213-0004, 0035-3787,,3
4267,Revue d'Oncologie Hématologie Pédiatrique, 2213-4670,,,,
4268,Revue de Pneumologie Clinique, 0761-8417,,,,
4269,Revue du Rhumatisme,, 1768-3130, 1169-8330,,
4270,Revue du Rhumatisme Monographies, 1878-6227,,,,
4271,Revue de Stomatologie et de Chirurgie Maxillo-faciale, 0035-1768,,,,
4272,"Revue de Stomatologie, de Chirurgie Maxillo-faciale et de Chirurgie Orale", 2213-6533,,,,
4273,Revue Vétérinaire Clinique,, 2214-5680, 2214-5672,,
4274,Rheumatic Disease Clinics of North America,, 1558-3163, 0889-857X,,2.3
4275,Rhizosphere,, 2452-2198,,,3.7
4276,RIBAGUA - Revista Iberoamericana del Agua, 2386-3781,,,,
4277,Rice Science,, 1876-4762, 1672-6308,,4.8
4278,Ricerche Economiche, 0035-5054,,,,
4279,Robotics, 0167-8493,,,,
4280,Robotics and Autonomous Systems,, 1872-793X, 0921-8890,,4.3
4281,Robotics and Computer-Integrated Manufacturing,, 1879-2537, 0736-5845,,10.4
4282,Rock Mechanics Bulletin, 2773-2304,,,,
4283,Röntgenpraxis, 0035-7820,,,,
4284,The Royal College of Radiologists Open, 2773-0662,,,,
4285,Russian Geology and Geophysics, 1068-7971,,,,
4286,Russian Journal of Economics, 2405-4739,,,,
4287,Russian Literature, 0304-3479,,,,0.2
4288,Safety and Health at Work,, 2093-7997, 2093-7911,,3.5
4289,Safety Science,, 1879-1042, 0925-7535,,6.1
4290,Sages-Femmes,, 2214-7888, 1637-4088,,
4291,Santé mentale et Droit,, 2772-9710, 2772-9729,,
4292,SAS Journal, 1935-9810,,,,
4293,The Saudi Dental Journal,, 2524-1702, 1013-9052,,1.8
4294,Saudi Journal of Biological Sciences,, 1319-562X, 1319-562X,,4.4
4295,The Saudi Journal for Dental Research, 2352-0035,,,,
4296,Saudi Journal of Ophthalmology, 1319-4534,,,,
4297,Saudi Pharmaceutical Journal,, 2213-7475, 1319-0164,,4.1
4298,Sauvegarde de l'Enfance, 0036-5041,,,,
4299,Scandinavian International Business Review, 0962-9262,,,,
4300,Scandinavian Journal of Management,, 1873-3387, 0956-5221,,2
4301,Scandinavian Journal of Management Studies, 0281-7527,,,,
4302,Scandinavian Journal of Pain, 1877-8860,,,,
4303,Schizophrenia Research,, 1573-2509, 0920-9964,,4.5
4304,Schizophrenia Research: Cognition,, 2215-0013,,,2.8
4305,Science Bulletin,, 2095-9281, 2095-9273,,18.9
4306,Science of Computer Programming,, 1872-7964, 0167-6423,,1.3
4307,Science & Justice,, 1876-4452, 1355-0306,,1.9
4308,Science in One Health, 2949-7043,,,,
4309,Science of Remote Sensing,, 2666-0172,,,13.5
4310,Science & Sports,, 1778-4131, 0765-1597,,1.1
4311,Science Talks, 2772-5693,,,,
4312,Science and Technology of Advanced Materials, 1468-6996,,,,
4313,Science and Technology of Materials, 2603-6363,,,,
4314,Science of The Total Environment,, 1879-1026, 0048-9697,,9.8
4315,Scientia Horticulturae,, 1879-1018, 0304-4238,,4.3
4316,Scientia Iranica, 1026-3098,,,,
4317,Scientific African,, 2468-2276,,,2.9
4318,Screening, 0925-6164,,,,
4319,Scripta Materialia,, 1872-8456, 1359-6462,,6
4320,Scripta Metallurgica, 0036-9748,,,,
4321,Scripta Metallurgica et Materialia, 0956-716X,,,,
4322,Sealing Technology, 1350-4789,,,,
4323,Sedimentary Geology,, 1879-0968, 0037-0738,,2.8
4324,Seizure: European Journal of Epilepsy,, 1532-2688, 1059-1311,,3
4325,Seminarios de la Fundación Española de Reumatología, 1577-3566,,,,
4326,"Seminars in Anesthesia, Perioperative Medicine and Pain", 0277-0326,,,,
4327,Seminars in Arthritis and Rheumatism,, 1532-866X, 0049-0172,,5
4328,Seminars in Avian and Exotic Pet Medicine, 1055-937X,,,,
4329,Seminars in Breast Disease, 1092-4450,,,,
4330,Seminars in Cancer Biology,, 1096-3650, 1044-579X,,14.5
4331,Seminars in Cell Biology, 1043-4682,,,,
4332,Seminars in Cell & Developmental Biology,, 1096-3634,, 1084-9521,7.3
4333,Seminars in Cerebrovascular Diseases and Stroke, 1528-9931,,,,
4334,Seminars in Colon and Rectal Surgery,, 1558-4585, 1043-1489,,0.3
4335,Seminars in Developmental Biology, 1044-5781,,,,
4336,Seminars in Diagnostic Pathology,, 1930-1111, 0740-2570,,2.3
4337,Seminars in Fetal and Neonatal Medicine,, 1878-0946, 1744-165X,,3
4338,Seminars in Hematology,, 1532-8686, 0037-1963,,3.6
4339,Seminars in Immunology,, 1096-3618, 1044-5323,,7.8
4340,Seminars in Arthroplasty: JSES,, 1558-4437,, 1045-4527,3
4341,Seminars in Integrative Medicine, 1543-1150,,,,
4342,Seminars in Neonatology, 1084-2756,,,,
4343,Seminars in Nephrology,, 1558-4488, 0270-9295,,3.3
4344,Seminars in Neuroscience, 1044-5765,,,,
4345,Seminars in Nuclear Medicine,, 1558-4623, 0001-2998,,4.9
4346,Seminars in Oncology,, 1532-8708, 0093-7754,,4
4347,Seminars in Oncology Nursing,, 1878-3449, 0749-2081,,2.2
4348,Seminars in Orthodontics,, 1558-4631, 1073-8746,,4.2
4349,Seminars in Pain Medicine, 1537-5897,,,,
4350,Seminars in Pediatric Infectious Diseases, 1045-1870,,,,
4351,Seminars in Pediatric Neurology,, 1558-0776, 1071-9091,,2.7
4352,Seminars in Pediatric Surgery,, 1532-9453, 1055-8586,,1.7
4353,Seminars in Perinatology,, 1558-075X, 0146-0005,,3.4
4354,Seminars in Radiation Oncology,, 1532-9461, 1053-4296,,3.5
4355,Seminars in Roentgenology,, 1558-4658, 0037-198X,,0.4
4356,Seminars in Spine Surgery,, 1558-4496, 1040-7383,,
4357,Seminars in Thoracic and Cardiovascular Surgery,, 1532-9488, 1043-0679,,2.5
4358,Seminars in Thoracic and Cardiovascular Surgery: Pediatric Cardiac Surgery Annual,, 1876-4665, 1092-9126,,
4359,"Seminars in Ultrasound, CT and MRI",, 1558-5034, 0887-2171,,1.1
4360,Seminars in Vascular Surgery,, 1558-4518, 0895-7967,,2.5
4361,Seminars in Virology, 1044-5773,,,,
4362,Sensing and Bio-Sensing Research,, 2214-1804,,,5.3
4363,Sensors and Actuators, 0250-6874,,,,
4364,Sensors and Actuators A: Physical,, 1873-3069, 0924-4247,,4.6
4365,Sensors and Actuators B: Chemical,, 1873-3077, 0925-4005,,8.4
4366,Sensors and Actuators Reports,, 2666-0539,,,5.9
4367,Sensors International,, 2666-3511,,,
4368,Separation and Purification Technology,, 1873-3794, 1383-5866,,8.6
4369,Separations Technology, 0956-9618,,,,
4370,Serials Review, 0098-7913,,,,
4371,Serodiagnosis and Immunotherapy in Infectious Disease, 0888-0786,,,,
4372,Sexologies, 1158-1360,,,,
4373,Sexual Medicine, 2050-1161,,,,
4374,Sexual Medicine Reviews, 2050-0521,,,,
4375,Sexual & Reproductive Healthcare,, 1877-5764, 1877-5756,,1.8
4376,"Sexuality, Reproduction and Menopause", 1546-2501,,,,
4377,"She Ji: The Journal of Design, Economics, and Innovation",, 2405-8718, 2405-8726,,2
4378,Signal Processing,, 1872-7557, 0165-1684,,4.4
4379,Signal Processing: Image Communication,, 1879-2677, 0923-5965,,3.5
4380,Signs and Media, 2590-0315,,,,
4381,Simulation Modelling Practice and Theory,, 1878-1462, 1569-190X,,4.2
4382,Simulation Practice and Theory, 0928-4869,,,,
4383,Singapore Dental Journal, 0377-5291,,,,
4384,SLAS Discovery, 2472-5552,,,,3.3
4385,SLAS Technology, 2472-6303,,,,2.8
4386,Sleep Epidemiology,, 2667-3436,,,
4387,Sleep Health,, 2352-7226, 2352-7218,,4.1
4388,Sleep Medicine,, 1878-5506, 1389-9457,,4.8
4389,Sleep Medicine Clinics,, 1556-4088, 1556-407X,,2.8
4390,Sleep Medicine Reviews,, 1532-2955, 1087-0792,,10.5
4391,Sleep Medicine: X,, 2590-1427,,,4.8
4392,Sleep Science, 1984-0063,,,,
4393,Small Ruminant Research,, 1879-0941, 0921-4488,,1.8
4394,Smart Agricultural Technology,, 2772-3755,,,
4395,Smart Energy,, 2666-9552,,,9
4396,Smart Health,, 2352-6491, 2352-6483,,
4397,Smart Materials Bulletin, 1471-3918,,,,
4398,Smart Materials in Manufacturing, 2772-8102,,,,
4399,Smart Materials in Medicine,, 2590-1834,,,
4400,"Social and Emotional Learning: Research, Practice, and Policy", 2773-2339,,,,
4401,Social Networks,, 1879-2111, 0378-8733,,3.1
4402,Social Science Information Studies, 0143-6236,,,,
4403,The Social Science Journal, 0362-3319,,,,
4404,Social Science & Medicine,, 1873-5347, 0277-9536,,5.4
4405,Social Science & Medicine. Part A: Medical Psychology & Medical Sociology, 0271-7123,,,,
4406,Social Science & Medicine. Part B: Medical Anthropology, 0160-7987,,,,
4407,Social Science & Medicine. Part C: Medical Economics, 0160-7995,,,,
4408,Social Science & Medicine. Part D: Medical Geography, 0160-8002,,,,
4409,Social Science & Medicine. Part E: Medical Psychology, 0271-5384,,,,
4410,Social Science & Medicine. Part F: Medical and Social Ethics, 0271-5392,,,,
4411,Social Science & Medicine (1967), 0037-7856,,,,
4412,Social Science Research,, 1096-0317, 0049-089X,,2.5
4413,Social Sciences & Humanities Open,, 2590-2911,,,
4414,Societal Impacts, 2949-6977,,,,
4415,Socio-Economic Planning Sciences,, 1873-6041, 0038-0121,,6.1
4416,Sociologie du Travail, 0038-0296,,,,
4417,Soft Computing Letters, 2666-2221,,,,
4418,Software Impacts,, 2665-9638,,,2.1
4419,SoftwareX,, 2352-7110,,,3.4
4420,Soil Biology and Biochemistry,, 1879-3428, 0038-0717,,9.7
4421,Soil Dynamics and Earthquake Engineering,, 1879-341X, 0267-7261,,4
4422,Soil & Environmental Health, 2949-9194,,,,
4423,Soil Security,, 2667-0062,,,
4424,Soil Technology, 0933-3630,,,,
4425,Soil and Tillage Research,, 1879-3444, 0167-1987,,6.5
4426,Soils and Foundations,, 2524-1788, 0038-0806,,3.7
4427,Solar Cells, 0379-6787,,,,
4428,Solar Compass, 2772-9400,,,,
4429,Solar Energy,, 1471-1257, 0038-092X,,6.7
4430,Solar Energy Advances,, 2667-1131,,,6.7
4431,Solar Energy Materials, 0165-1633,,,,
4432,Solar Energy Materials and Solar Cells,, 1879-3398, 0927-0248,,6.9
4433,Solar & Wind Technology, 0741-983X,,,,
4434,Solid Earth Sciences,, 2451-912X,,,2
4435,Solid State Communications,, 1879-2766, 0038-1098,,2.1
4436,Solid-State Electronics,, 1879-2405, 0038-1101,,1.7
4437,Solid State Electronics Letters, 2589-2088,,,,
4438,Solid State Ionics,, 1872-7689, 0167-2738,,3.2
4439,Solid State Nuclear Magnetic Resonance,, 1527-3326, 0926-2040,,3.2
4440,Solid State Sciences,, 1873-3085, 1293-2558,,3.5
4441,South African Journal of Botany,, 1727-9321, 0254-6299,,3.1
4442,South African Journal of Chemical Engineering,, 2589-0344, 1026-9185,,
4443,Space Policy,, 1879-338X, 0265-9646,,1.1
4444,Space Research Today, 1752-9298,,,,
4445,Space Solar Power and Wireless Transmission, 2950-1040,,,,
4446,Spanish Journal of Legal Medicine,, 2445-4249,,,
4447,Spanish Journal of Marketing - ESIC, 2444-9695,,,,
4448,Spanish Journal of Psychiatry and Mental Health,, 2950-2853, 2950-2861,,
4449,The Spanish Review of Financial Economics, 2173-1268,,,,
4450,Spatial and Spatio-temporal Epidemiology,, 1877-5853, 1877-5845,,3.4
4451,Spatial Statistics,, 2211-6753,,,2.3
4452,Spectrochimica Acta, 0371-1951,,,,
4453,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,, 1873-3557, 1386-1425,,4.4
4454,Spectrochimica Acta Part A: Molecular Spectroscopy, 0584-8539,,,,
4455,Spectrochimica Acta Part B: Atomic Spectroscopy,, 1873-3565, 0584-8547,,3.3
4456,Speech Communication,, 1872-7182, 0167-6393,,3.2
4457,Spill Science & Technology Bulletin, 1353-2561,,,,
4458,Spine Deformity, 2212-134X,,,,
4459,The Spine Journal,, 1878-1632, 1529-9430,,4.5
4460,Sport Management Review, 1441-3523,,,,
4461,Sports Economics Review, 2773-1618,,,,
4462,Sports Medicine and Health Science,, 2666-3376,,,
4463,Sports Orthopaedics and Traumatology,, 1876-4339, 0949-328X,,
4464,SSM - Health Systems, 2949-8562,,,,5.4
4465,SSM - Mental Health,, 2666-5603,,,5.4
4466,SSM - Population Health,, 2352-8273,,,4.7
4467,SSM - Qualitative Research in Health,, 2667-3215,,,5.4
4468,St. Petersburg Polytechnical University Journal: Physics and Mathematics, 2405-7223,,,,
4469,STAR Protocols,, 2666-1667,,,
4470,Statistical Methodology, 1572-3127,,,,
4471,Statistics & Probability Letters,, 1879-2103, 0167-7152,,0.8
4472,Stem Cell Reports,, 2213-6711,,,
4473,Stem Cell Research,, 1876-7753, 1873-5061,,1.2
4474,Steroids,, 1878-5867, 0039-128X,,2.7
4475,Stochastic Processes and their Applications,, 1879-209X, 0304-4149,,1.4
4476,Structural Change and Economic Dynamics,, 1873-6017, 0954-349X,,6.1
4477,Structural Heart, 2474-8706,,,,
4478,Structural Safety,, 1879-3355, 0167-4730,,5.8
4479,Structure,, 1878-4186, 0969-2126,,
4480,Structures,, 2352-0124,,,4.1
4481,Studies in Communication Sciences, 1424-4896,,,,
4482,Studies in Comparative Communism, 0039-3592,,,,
4483,Studies in Educational Evaluation,, 1879-2529, 0191-491X,,3.1
4484,Studies in History and Philosophy of Science,, 1879-2510, 0039-3681,,1
4485,Studies in History and Philosophy of Science Part B: Studies in History and Philosophy of Modern Physics, 1355-2198,,,,
4486,Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences, 1369-8486,,,,
4487,Studies in Mycology, 0166-0616,,,,
4488,Suma de Negocios, 2215-910X,,,,
4489,Suma Psicológica, 0121-4381,,,,
4490,Superconductivity, 2772-8307,,,,
4491,Superlattices and Microstructures, 0749-6036,,,,
4492,Supply Chain Analytics, 2949-8635,,,,
4493,Supportive Cancer Therapy, 1543-2912,,,,
4494,Supramolecular Materials,, 2667-2405,,,
4495,Supramolecular Science, 0968-5677,,,,
4496,Surface and Coatings Technology,, 1879-3347, 0257-8972,,5.4
4497,Surface Science,, 1879-2758, 0039-6028,,1.9
4498,Surface Science Letters, 0167-2584,,,,
4499,Surface Science Reports,, 1879-274X, 0167-5729,,9.8
4500,Surface Technology, 0376-4583,,,,
4501,Surfaces and Interfaces,, 2468-0230,,,6.2
4502,The Surgeon,, 2405-5840, 1479-666X,,2.5
4503,Surgery,, 1532-7361, 0039-6060,,3.8
4504,Surgery Case Reports, 2950-1032,,,,
4505,Surgery for Obesity and Related Diseases,, 1878-7533, 1550-7289,,3.1
4506,Surgery Open Digestive Advance,, 2667-0089,,,2.1
4507,Surgery Open Science,, 2589-8450,,,1.4
4508,Surgery (Oxford),, 1878-1764, 0263-9319,,
4509,Surgery in Practice and Science,, 2666-2620,,,
4510,Surgical Clinics of North America,, 1558-3171, 0039-6109,,3.1
4511,Surgical Neurology, 0090-3019,,,,
4512,Surgical Oncology,, 1879-3320, 0960-7404,,2.3
4513,Surgical Oncology Clinics of North America,, 1558-5042, 1055-3207,,1.9
4514,Surgical Oncology Insight, 2950-2470,,,,
4515,Surgical Pathology Clinics,, 1875-9157, 1875-9181,,
4516,Survey of Ophthalmology,, 1879-3304, 0039-6257,,5.1
4517,Surveys in Operations Research and Management Science, 1876-7354,,,,
4518,Sustainability Analytics and Modeling,, 2667-2596,,,
4519,Sustainability of Water Quality and Ecology, 2212-6139,,,,
4520,Sustainable Chemistry for Climate Action, 2772-8269,,,,
4521,Sustainable Chemistry for the Environment, 2949-8392,,,,
4522,Sustainable Chemistry One World, 2950-3574,,,,
4523,Sustainable Chemistry and Pharmacy,, 2352-5541,,,6
4524,Sustainable Cities and Society,, 2210-6715, 2210-6707,,11.7
4525,Sustainable Computing: Informatics and Systems,, 2210-5387, 2210-5379,,4.5
4526,"Sustainable Energy, Grids and Networks",, 2352-4677,,,5.4
4527,Sustainable Energy Technologies and Assessments,, 2213-1396,, 2213-1388,8
4528,Sustainable Environment Research, 2468-2039,,,,
4529,Sustainable Futures,, 2666-1888,,,5.5
4530,Sustainable Horizons, 2772-7378,,,,
4531,Sustainable Manufacturing and Service Economics,, 2667-3444,,,
4532,Sustainable Materials and Technologies,, 2214-9937, 2214-9929,,9.6
4533,Sustainable Operations and Computers,, 2666-4127,,,
4534,Sustainable Production and Consumption,, 2352-5509,,,12.1
4535,Sustainable Technology and Entrepreneurship, 2773-0328,,,,
4536,Swarm and Evolutionary Computation,, 2210-6510, 2210-6502,,10
4537,"Symposium on Combustion and Flame, and Explosion Phenomena", 1062-2896,,,,
4538,Symposium (International) on Combustion, 0082-0784,,,,
4539,Synergy, 2213-7130,,,,
4540,Synthetic Communications, 0039-7911,,,,
4541,Synthetic Metals,, 1879-3290, 0379-6779,,4.4
4542,Synthetic and Systems Biotechnology,, 2405-805X,,,4.8
4543,System,, 1879-3282, 0346-251X,,6
4544,Systematic and Applied Microbiology,, 1618-0984, 0723-2020,,3.4
4545,Systems & Control Letters,, 1872-7956, 0167-6911,,2.6
4546,Systems Engineering Procedia, 2211-3819,,,,
4547,Systems Engineering - Theory & Practice, 1874-8651,,,,
4548,Systems and Soft Computing,, 2772-9419,,,8.7
4549,Taiwan Journal of Ophthalmology, 2211-5056,,,,
4550,Taiwanese Journal of Obstetrics and Gynecology,, 1875-6263, 1028-4559,,2.1
4551,Talanta,, 1873-3573, 0039-9140,,6.1
4552,Talanta Open,, 2666-8319,,,6.1
4553,Tanta Dental Journal, 1687-8574,,,,
4554,TARGETS, 1477-3627,,,,
4555,Teaching and Learning in Nursing,, 1557-2013, 1557-3087,,1.9
4556,Teaching and Teacher Education,, 1879-2480, 0742-051X,,3.9
4557,Teaching and Teacher Education: Leadership and Professional Development, 2667-3207,,,,
4558,Technical Innovations & Patient Support in Radiation Oncology,, 2405-6324,,,
4559,Technical Tips Online, 1366-2120,,,,
4560,Techniques in Gastrointestinal Endoscopy, 1096-2883,,,,
4561,Techniques and Innovations in Gastrointestinal Endoscopy,, 2590-0307, 2666-5107,,2.4
4562,Techniques in Regional Anesthesia and Pain Management, 1084-208X,,,,
4563,Techniques in Vascular and Interventional Radiology,, 1557-9808, 1089-2516,,1.7
4564,Technological Forecasting, 0099-3964,,,,
4565,Technological Forecasting and Social Change,, 1873-5509, 0040-1625,,12
4566,Technology in Society,, 1879-3274, 0160-791X,,9.2
4567,Technovation,, 1879-2383, 0166-4972,,12.5
4568,Tectonophysics,, 1879-3266, 0040-1951,,2.9
4569,Tékhne, 1645-9911,,,,
4570,Telecommunications Policy,, 1879-3258, 0308-5961,,5.6
4571,Telematics and Informatics,, 1879-324X, 0736-5853,,8.5
4572,Telematics and Informatics Reports, 2772-5030,,,,8.5
4573,Tetrahedron,, 1464-5416, 0040-4020,,2.1
4574,Tetrahedron: Asymmetry, 0957-4166,,,,
4575,Tetrahedron Chem, 2666-951X,,,,
4576,Tetrahedron Computer Methodology, 0898-5529,,,,
4577,Tetrahedron Green Chem, 2773-2231,,,,
4578,Tetrahedron Letters,, 1873-3581, 0040-4039,,1.8
4579,Thalamus & Related Systems, 1472-9288,,,,
4580,The Journal of Organic Chemistry, 0022-3263,,,,
4581,Theoretical and Applied Fracture Mechanics,, 1872-7638, 0167-8442,,5.3
4582,Theoretical and Applied Mechanics Letters,, 2589-0336, 2095-0349,,3.4
4583,Theoretical Computer Science,, 1879-2294, 0304-3975,,1.1
4584,Theoretical Population Biology,, 1096-0325, 0040-5809,,1.4
4585,Theory in Biosciences, 1431-7613,,,,
4586,Therapies,, 1958-5578, 0040-5957,,2.6
4587,Theriogenology,, 1879-3231, 0093-691X,,2.8
4588,Theriogenology Wild, 2773-093X,,,,2.8
4589,Thermal Science and Engineering Progress,, 2451-9049,,,4.8
4590,Thermochimica Acta,, 1872-762X, 0040-6031,,3.5
4591,Thin Solid Films,, 1879-2731, 0040-6090,,2.1
4592,Thin-Walled Structures,, 1879-3223, 0263-8231,,6.4
4593,Thinking Skills and Creativity,, 1878-0423, 1871-1871,,3.7
4594,Thoracic Surgery Clinics,, 1558-5069, 1547-4127,,2.1
4595,Thrombosis Research,, 1879-2472, 0049-3848,,7.5
4596,Thrombosis Update,, 2666-5727,,,7.5
4597,Thyroid Science, 2950-3000,,,,
4598,Ticks and Tick-borne Diseases,, 1877-9603,, 1877-959X,3.2
4599,TIP, 1405-888X,,,,
4600,Tissue and Cell,, 1532-3072, 0040-8166,,2.6
4601,Tomography of Materials and Structures, 2949-673X,,,,
4602,Topics in Companion Animal Medicine,, 1946-9837, 1938-9736,,1.1
4603,Topology, 0040-9383,,,,
4604,Topology and its Applications,, 1879-3207, 0166-8641,,0.6
4605,Total Environment Research Themes, 2772-8099,,,,
4606,Tourism Management,, 1879-3193, 0261-5177,,12.7
4607,Tourism Management Perspectives,, 2211-9744, 2211-9736,,8.7
4608,Toxicological Sciences, 1096-6080,,,,
4609,Toxicologie Analytique et Clinique,, 2352-0086, 2352-0078,,0.6
